Measure Mode: wall_time
Thread ID: 70228520599860
Fiber ID: 70228524767740
Total: 0.003185
Sort by: self_time

 %self      total      self      wait     child     calls  name
 87.98      0.003     0.003     0.000     0.000      201   Integer#upto
  3.59      0.003     0.000     0.000     0.003      200   Object#is_prime
  2.84      0.000     0.000     0.000     0.000      200   Kernel#rand
  2.16      0.000     0.000     0.000     0.000        1   Array#each_index
  1.86      0.003     0.000     0.000     0.003        1   Array#select
  1.03      0.000     0.000     0.000     0.000      200   Kernel#respond_to_missing?
  0.15      0.003     0.000     0.000     0.003        1   Object#run_primes
  0.07      0.000     0.000     0.000     0.000        1   Array#first
  0.07      0.003     0.000     0.000     0.003        1   Object#find_primes
  0.07      0.000     0.000     0.000     0.000        1   Array#initialize
  0.07      0.003     0.000     0.000     0.003        1   PrintersTest#setup
  0.06      0.000     0.000     0.000     0.000        1   Object#make_random_array
  0.03      0.000     0.000     0.000     0.000        1   Object#find_largest
  0.03      0.000     0.000     0.000     0.000        1   Class#new

* indicates recursively called methods
